ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,enq_conv,buy_conv,tot_conv,enqconval,buyconval,total_conval,ROAS
708746,916,103916,20-29,1,15,7350,1,1.429999948,2,1,3,10,100,110,76.92307972
708749,916,103917,20-29,1,16,17861,2,1.820000023,2,0,2,10,0,10,5.494505425
708815,916,103928,20-29,1,28,4259,1,1.25,1,0,1,5,0,5,4
708818,916,103928,20-29,1,28,4133,1,1.289999962,1,1,2,5,100,105,81.39535123
708889,916,103940,20-29,1,15,15615,3,4.769999981,1,0,1,5,0,5,1.048218034
708895,916,103941,20-29,1,16,10951,1,1.269999981,1,1,2,5,100,105,82.67716659
708953,916,103951,20-29,1,27,2355,1,1.5,1,0,1,5,0,5,3.333333333
708958,916,103952,20-29,1,28,9502,3,3.159999967,1,0,1,5,0,5,1.582278498
709059,916,103968,20-29,1,20,14669,7,10.28000021,1,1,2,5,100,105,10.21400757
709115,916,103978,20-29,1,30,2305,1,0.569999993,1,0,1,5,0,5,8.771929932
709179,916,103988,30-39,1,15,4627,1,1.690000057,1,0,1,5,0,5,2.958579782
709183,916,103989,30-39,1,16,21026,4,4.630000114,2,1,3,10,100,110,23.75809877
709323,916,104012,30-39,1,15,7132,2,2.609999895,1,0,1,5,0,5,1.915708889
709326,916,104013,30-39,1,16,12190,2,3.049999952,1,0,1,5,0,5,1.639344288
709327,916,104013,30-39,1,16,12193,2,3.059999943,1,1,2,5,100,105,34.31372613
709544,916,104049,30-39,1,29,7440,2,2.980000019,1,1,2,5,100,105,35.2348991
709614,916,104061,40-49,1,16,19113,4,5.5200001,1,0,1,5,0,5,0.905797085
709756,916,104085,40-49,1,16,10976,2,1.690000057,1,1,2,5,100,105,62.13017542
709901,916,104109,40-49,1,16,23817,7,8.470000148,1,1,2,5,100,105,12.396694
710045,916,104133,50-59,1,16,47224,12,15.82000017,1,0,1,5,0,5,0.316055622
710088,916,104140,50-59,1,24,2283,1,1.470000029,1,0,1,5,0,5,3.401360477
710360,916,104185,50-59,1,21,2182,1,1.529999971,1,1,2,5,100,105,68.62745228
710480,916,104205,20-29,2,16,57665,14,18.06999969,1,1,2,5,100,105,5.810736126
710571,916,104220,20-29,2,32,3091,1,1.610000014,1,1,2,5,100,105,65.21739074
710617,916,104228,20-29,2,15,5014,1,1.190000057,1,0,1,5,0,5,4.201680471
710623,916,104229,20-29,2,16,38726,7,9.220000267,1,0,1,5,0,5,0.542299334
710763,916,104252,20-29,2,15,5369,1,1.50999999,1,0,1,5,0,5,3.3112583
710836,916,104265,20-29,2,29,22221,7,9.430000067,1,1,2,5,100,105,11.13467649
710880,916,104272,20-29,2,65,13019,5,6.960000038,1,0,1,5,0,5,0.718390801
710961,916,104285,30-39,2,25,2508,1,1.220000029,1,0,1,5,0,5,4.098360558
710968,916,104287,30-39,2,27,5864,2,2.799999952,1,1,2,5,100,105,37.50000064
711217,916,104328,30-39,2,20,2783,1,1.600000024,1,0,1,5,0,5,3.124999953
711623,916,104396,40-49,2,15,3812,1,1.129999995,2,1,3,10,100,110,97.34513317
711764,916,104419,50-59,2,10,11199,4,5.730000019,1,1,2,5,100,105,18.32460727
711877,916,104438,50-59,2,63,17572,7,9.379999995,1,0,1,5,0,5,0.533049041
734210,936,108654,20-29,1,10,13329,4,5.629999995,1,1,2,5,100,105,18.65008883
734215,936,108655,20-29,1,15,13659,3,3.840000033,1,0,1,5,0,5,1.302083322
734290,936,108668,20-29,1,29,5374,1,1.039999962,4,0,4,20,0,20,19.23076993
734352,936,108678,30-39,1,10,4423,1,1.460000038,1,1,2,5,100,105,71.91780635
734361,936,108680,30-39,1,16,12382,2,2.839999914,1,1,2,5,100,105,36.97183211
734381,936,108683,30-39,1,20,2938,1,1.350000024,1,1,2,5,100,105,77.7777764
734421,936,108690,30-39,1,27,10332,4,5.75,1,0,1,5,0,5,0.869565217
734427,936,108691,30-39,1,28,8259,3,3.980000019,1,0,1,5,0,5,1.256281401
734433,936,108692,30-39,1,29,12158,3,4.449999928,1,0,1,5,0,5,1.123595524
734582,936,108716,40-49,1,29,7709,2,1.320000052,2,0,2,10,0,10,7.575757277
734726,936,108740,50-59,1,29,10466,3,4.090000033,1,0,1,5,0,5,1.222493878
734785,936,108750,20-29,2,10,5576,1,1.529999971,1,1,2,5,100,105,68.62745228
734796,936,108752,20-29,2,16,39337,7,10.03000009,1,1,2,5,100,105,10.46859412
734852,936,108761,20-29,2,26,13479,3,4.25,1,0,1,5,0,5,1.176470588
734854,936,108762,20-29,2,27,57022,13,20.29000032,3,3,6,15,300,315,15.52488886
734856,936,108762,20-29,2,27,5453,1,1.389999986,1,1,2,5,100,105,75.53956911
734866,936,108764,20-29,2,29,11803,3,4.440000057,1,0,1,5,0,5,1.126126112
734881,936,108766,20-29,2,31,4259,1,1.570000052,1,1,2,5,100,105,66.87897868
734903,936,108770,20-29,2,64,5323,1,1.289999962,1,1,2,5,100,105,81.39535123
734925,936,108774,30-39,2,10,5024,1,1.409999967,1,1,2,5,100,105,74.46808685
734939,936,108776,30-39,2,16,104648,24,33.33000004,4,2,6,20,200,220,6.600660058
734968,936,108781,30-39,2,22,8504,3,3.340000093,1,1,2,5,100,105,31.43712487
734999,936,108786,30-39,2,27,20277,6,8.050000072,1,0,1,5,0,5,0.621118007
735014,936,108788,30-39,2,29,12403,4,5.210000038,1,1,2,5,100,105,20.15355072
735140,936,108809,40-49,2,26,6907,2,2.349999964,1,0,1,5,0,5,2.127659607
735143,936,108810,40-49,2,27,39035,13,19.32999957,1,0,1,5,0,5,0.258665293
735184,936,108817,40-49,2,63,4412,1,1.450000048,1,0,1,5,0,5,3.448275748
735189,936,108818,40-49,2,64,9965,3,4.050000072,1,0,1,5,0,5,1.234567879
735213,936,108822,50-59,2,10,73634,23,32.97999978,1,0,1,5,0,5,0.151607036
735220,936,108823,50-59,2,15,69708,20,31.28999949,1,0,1,5,0,5,0.159795464
735247,936,108827,50-59,2,20,14257,6,8.789999962,1,0,1,5,0,5,0.568828216
735289,936,108834,50-59,2,27,20362,5,9.119999886,1,1,2,5,100,105,11.51315804
735290,936,108834,50-59,2,27,12215,4,6.26000011,1,0,1,5,0,5,0.798722031
735298,936,108836,50-59,2,29,85412,28,38.63999999,2,1,3,10,100,110,2.846790891
736869,936,109448,20-29,1,2,2338,1,0.239999995,1,0,1,5,0,5,20.83333377
736988,936,109472,20-29,1,28,3891,1,1.090000033,1,0,1,5,0,5,4.587155824
737130,936,109507,30-39,1,16,11199,2,2.680000067,1,0,1,5,0,5,1.865671595
737320,936,109553,30-39,1,63,5676,2,3.00999999,1,0,1,5,0,5,1.661129574
737524,936,109601,40-49,1,30,2148,1,1.580000043,1,1,2,5,100,105,66.45569439
737644,936,109629,50-59,1,16,45401,10,14.06000042,1,0,1,5,0,5,0.355618766
737657,936,109633,50-59,1,18,7478,2,2.900000095,1,1,2,5,100,105,36.20689537
737658,936,109633,50-59,1,18,4919,1,1.590000033,1,0,1,5,0,5,3.144654023
737896,936,109689,20-29,2,16,17553,3,4.590000153,1,0,1,5,0,5,1.089324582
737931,936,109698,20-29,2,20,3343,1,0.540000021,1,0,1,5,0,5,9.259258899
738006,936,109717,20-29,2,27,34740,7,13.41000009,1,1,2,5,100,105,7.829977576
738307,936,109788,30-39,2,31,3010,1,0.860000014,1,1,2,5,100,105,122.0930213
738389,936,109808,40-49,2,10,27081,9,10.77000046,1,1,2,5,100,105,9.749303205
738408,936,109813,40-49,2,16,20233,4,5.590000153,3,0,3,15,0,15,2.683363075
738413,936,109813,40-49,2,16,147159,36,58.16000044,3,1,4,15,100,115,1.977303974
738423,936,109816,40-49,2,18,21664,7,10.61999977,1,1,2,5,100,105,9.887005864
738436,936,109820,40-49,2,19,9112,4,5.460000038,1,1,2,5,100,105,19.2307691
738582,936,109848,50-59,2,10,46150,15,20.17999983,1,1,2,5,100,105,5.203171501
738592,936,109850,50-59,2,16,493821,116,176.3799977,4,1,5,20,100,120,0.680349255
738593,936,109850,50-59,2,16,92011,27,34.39000046,2,1,3,10,100,110,3.198604203
738598,936,109851,50-59,2,18,12956,4,5.49000001,1,1,2,5,100,105,19.12568303
738637,936,109857,50-59,2,24,944,1,1.419999957,1,0,1,5,0,5,3.521126867
738648,936,109859,50-59,2,26,111090,38,51.97000027,5,1,6,25,100,125,2.405233776
747212,936,110836,20-29,1,10,7208,2,3.190000057,1,0,1,5,0,5,1.567398091
747222,936,110838,20-29,1,16,12489,2,1.960000038,1,0,1,5,0,5,2.551020359
747223,936,110838,20-29,1,16,8032,1,0.600000024,2,0,2,10,0,10,16.666666
747362,936,110861,30-39,1,15,4607,1,1.149999976,1,1,2,5,100,105,91.30434973
747369,936,110862,30-39,1,16,13355,2,3.180000067,1,1,2,5,100,105,33.01886723
747401,936,110867,30-39,1,22,2793,1,0.980000019,1,1,2,5,100,105,107.1428551
747489,936,110882,40-49,1,2,4016,2,1.480000049,1,1,2,5,100,105,70.9459436
747514,936,110886,40-49,1,16,14843,3,2.939999938,1,1,2,5,100,105,35.71428647
747645,936,110908,50-59,1,10,9674,3,4.600000024,1,1,2,5,100,105,22.82608684
747659,936,110910,50-59,1,16,12186,2,2.669999957,1,0,1,5,0,5,1.872659206
747791,936,110932,20-29,2,10,31393,8,10.96000051,1,1,2,5,100,105,9.580291525
747795,936,110933,20-29,2,15,8410,2,2.359999895,1,1,2,5,100,105,44.4915274
747798,936,110934,20-29,2,16,25884,5,7.350000143,1,0,1,5,0,5,0.680272096
747828,936,110939,20-29,2,22,28488,10,9.340000033,1,0,1,5,0,5,0.535331904
747852,936,110943,20-29,2,26,10126,3,4.619999886,1,0,1,5,0,5,1.082251109
747859,936,110944,20-29,2,27,22572,5,8.5,1,0,1,5,0,5,0.588235294
747991,936,110966,30-39,2,25,4868,2,2.420000076,1,0,1,5,0,5,2.066115638
748000,936,110967,30-39,2,26,6585,2,2.950000048,1,0,1,5,0,5,1.694915227
748007,936,110968,30-39,2,27,10164,2,3.720000029,1,1,2,5,100,105,28.22580623
748014,936,110970,30-39,2,29,11182,4,4.449999809,1,0,1,5,0,5,1.123595554
748086,936,110982,40-49,2,16,34127,8,13.07000017,1,0,1,5,0,5,0.382555466
748087,936,110982,40-49,2,16,29466,7,10.84999967,2,0,2,10,0,10,0.921659014
748089,936,110982,40-49,2,16,38759,9,10.84999967,1,0,1,5,0,5,0.460829507
748091,936,110982,40-49,2,16,41720,10,12.06000006,1,1,2,5,100,105,8.706467618
748225,936,111005,50-59,2,15,18602,5,8.860000134,1,0,1,5,0,5,0.564334077
748230,936,111006,50-59,2,16,83929,21,27.72999954,4,1,5,20,100,120,4.327443274
748231,936,111006,50-59,2,16,25194,6,7.349999905,1,0,1,5,0,5,0.680272118
748233,936,111006,50-59,2,16,78627,19,26.53000045,1,0,1,5,0,5,0.188465884
748235,936,111006,50-59,2,16,102695,25,39.42999983,3,0,3,15,0,15,0.380421001
748294,936,111016,50-59,2,27,82827,24,47.93000031,3,0,3,15,0,15,0.312956393
748295,936,111016,50-59,2,27,9240,3,6.039999962,1,0,1,5,0,5,0.827814575
748303,936,111018,50-59,2,29,7706,2,2.369999886,1,0,1,5,0,5,2.109704743
748314,936,111020,50-59,2,31,7821,4,6.340000153,1,1,2,5,100,105,16.5615138
776322,936,115485,50-59,2,16,119063,34,53.21999949,1,0,1,5,0,5,0.093949644
776323,936,115485,50-59,2,16,99078,23,35.79999948,2,0,2,10,0,10,0.279329613
776325,936,115485,50-59,2,16,452398,114,180.2200012,1,0,1,5,0,5,0.027743868
776334,936,115487,50-59,2,10,191223,48,76.41000056,1,0,1,5,0,5,0.065436461
776336,936,115487,50-59,2,10,22216,6,9.549999952,1,0,1,5,0,5,0.523560212
776338,936,115487,50-59,2,10,48291,11,18.01999998,1,0,1,5,0,5,0.277469479
776353,936,115490,40-49,2,63,27559,8,13.37,1,0,1,5,0,5,0.373971578
776373,936,115493,50-59,2,25,10194,4,4.590000033,2,1,3,10,100,110,23.96514144
776405,936,115498,50-59,2,21,40126,16,25.86000001,1,0,1,5,0,5,0.193348801
776416,936,115500,50-59,2,19,3659,1,0.49000001,1,1,2,5,100,105,214.2857099
776464,936,115508,50-59,2,29,7550,1,1.679999948,1,1,2,5,100,105,62.50000193
776469,936,115509,50-59,2,28,45397,15,25.41999936,1,1,2,5,100,105,4.130605926
776473,936,115510,20-29,1,16,23086,2,3.310000062,1,1,2,5,100,105,31.72205379
776475,936,115510,20-29,1,16,16425,1,1.549999952,1,0,1,5,0,5,3.225806552
776476,936,115510,20-29,1,16,43756,5,5.439999938,0,0,0,0,0,0,0
776489,936,115512,50-59,2,26,175389,55,81.60999787,1,0,1,5,0,5,0.061267003
776515,936,115517,50-59,2,65,12706,3,4.98999989,1,1,2,5,100,105,21.04208463
776519,936,115517,50-59,2,65,70702,20,31.7099998,1,0,1,5,0,5,0.157678967
776533,936,115520,50-59,2,63,63927,16,25.52000046,2,0,2,10,0,10,0.391849523
776534,936,115520,50-59,2,63,15105,3,4.25999999,1,0,1,5,0,5,1.173708923
776538,936,115521,20-29,2,15,8774,1,1.830000043,1,0,1,5,0,5,2.732240373
776551,936,115523,20-29,2,16,14459,1,1.389999986,1,0,1,5,0,5,3.597122338
776552,936,115523,20-29,2,16,21596,2,2.809999943,1,0,1,5,0,5,1.779359467
776553,936,115523,20-29,2,16,66765,8,11.04999971,1,0,1,5,0,5,0.4524887
776579,936,115527,20-29,2,10,26910,5,7.229999781,1,0,1,5,0,5,0.691562953
776615,936,115533,50-59,1,63,11988,3,4.269999862,1,0,1,5,0,5,1.170960225
776623,936,115535,50-59,1,64,19353,6,9.4799999,1,1,2,5,100,105,11.07594948
776631,936,115536,40-49,1,29,10960,2,2.890000105,1,0,1,5,0,5,1.730103743
776643,936,115538,20-29,1,15,33491,6,10.56999969,2,1,3,10,100,110,10.40681204
776644,936,115538,20-29,1,15,20083,2,3.200000048,2,1,3,10,100,110,34.37499948
776661,936,115541,20-29,1,16,15466,1,0.970000029,1,0,1,5,0,5,5.154639021
776662,936,115541,20-29,1,16,27072,3,4.370000005,1,0,1,5,0,5,1.144164758
776663,936,115541,20-29,1,16,15753,1,0.569999993,1,1,2,5,100,105,184.2105286
776668,936,115542,40-49,1,19,3523,1,1.809999943,1,1,2,5,100,105,58.01105155
776686,936,115545,40-49,1,16,18709,2,3.319999933,1,0,1,5,0,5,1.506024127
776696,936,115547,20-29,1,10,7966,1,1.179999948,1,1,2,5,100,105,88.98305477
776698,936,115547,20-29,1,10,12785,3,4.730000019,2,1,3,10,100,110,23.25581386
776699,936,115547,20-29,1,10,8213,1,1.379999995,1,1,2,5,100,105,76.0869568
776725,936,115552,40-49,1,23,2479,1,1.25999999,1,0,1,5,0,5,3.968254
776780,936,115561,40-49,1,2,3812,2,3.049999952,1,0,1,5,0,5,1.639344288
776799,936,115564,50-59,1,20,10257,3,3.579999924,1,1,2,5,100,105,29.32960956
776817,936,115567,40-49,1,10,12356,4,6.279999971,1,0,1,5,0,5,0.796178348
776825,936,115568,50-59,1,18,7410,1,1.210000038,1,0,1,5,0,5,4.132231275
776829,936,115569,50-59,1,16,140098,28,46.63000011,1,0,1,5,0,5,0.107227107
776831,936,115569,50-59,1,16,107021,20,34.44000012,1,0,1,5,0,5,0.145180023
776840,936,115571,30-39,1,36,2797,1,1.289999962,1,0,1,5,0,5,3.875969106
776861,936,115574,50-59,1,7,16461,6,9.21999979,1,0,1,5,0,5,0.542299362
776892,936,115580,40-49,1,63,17488,5,7.719999909,1,0,1,5,0,5,0.647668401
776928,936,115586,30-39,1,10,9750,2,1.5,1,1,2,5,100,105,70
777105,936,115615,50-59,1,63,4333,1,0.180000007,1,1,2,5,100,105,583.3333106
777187,936,115629,40-49,1,27,11292,3,5.389999866,1,1,2,5,100,105,19.48051996
777198,936,115631,20-29,1,64,12729,4,5.779999852,1,0,1,5,0,5,0.865051925
777235,936,115637,20-29,1,65,2883,1,0.99000001,1,1,2,5,100,105,106.060605
777248,936,115639,20-29,2,7,3989,1,1.279999971,1,0,1,5,0,5,3.906250089
777261,936,115641,40-49,1,29,19603,4,5.279999971,1,1,2,5,100,105,19.88636375
777382,936,115675,40-49,1,24,3047,1,1.379999995,1,0,1,5,0,5,3.623188419
777398,936,115677,30-39,1,24,3029,1,1.049999952,1,1,2,5,100,105,100.0000046
777410,936,115679,50-59,1,26,3490,1,1.340000033,1,1,2,5,100,105,78.35820703
777495,936,115693,40-49,1,19,19581,7,10.42999983,2,0,2,10,0,10,0.958772786
777519,936,115697,50-59,1,29,19537,5,6.099999905,1,0,1,5,0,5,0.819672144
777625,936,115715,50-59,1,16,59433,12,19.65999949,3,0,3,15,0,15,0.762970518
777627,936,115715,50-59,1,16,157534,33,56.19000077,2,0,2,10,0,10,0.177967607
777670,936,115723,40-49,1,16,23769,4,6.029999852,1,0,1,5,0,5,0.829187417
777742,936,115735,30-39,1,64,4726,1,1.830000043,1,1,2,5,100,105,57.37704783
777758,936,115737,20-29,1,19,5209,1,0.959999979,2,0,2,10,0,10,10.41666689
777794,936,115743,20-29,1,18,13473,3,2.619999945,3,0,3,15,0,15,5.72519096
777871,936,115756,20-29,1,20,4616,1,1.360000014,1,0,1,5,0,5,3.67647055
778037,936,115784,30-39,1,27,14615,4,6.050000191,1,0,1,5,0,5,0.826446255
778048,936,115786,20-29,1,27,56615,12,19.88000035,2,0,2,10,0,10,0.5030181
778085,936,115792,20-29,1,26,11735,3,4.529999971,1,1,2,5,100,105,23.1788081
778087,936,115792,20-29,1,26,15910,5,6.779999852,1,0,1,5,0,5,0.737463143
778112,936,115796,30-39,1,29,11446,2,3.090000033,1,1,2,5,100,105,33.98058216
778156,936,115804,20-29,1,28,9388,2,3.140000105,1,0,1,5,0,5,1.592356635
778161,936,115804,20-29,1,28,17954,6,7.5400002,2,1,3,10,100,110,14.58885903
778264,936,115822,40-49,2,27,8152,1,0.99000001,1,0,1,5,0,5,5.050504999
778266,936,115822,40-49,2,27,74542,19,34.1500001,1,0,1,5,0,5,0.146412884
778421,936,115848,40-49,2,20,6699,2,3.090000033,1,0,1,5,0,5,1.61812296
778422,936,115848,40-49,2,20,11911,4,3.959999919,1,0,1,5,0,5,1.262626288
778461,936,115854,40-49,1,29,10090,2,2.650000095,1,1,2,5,100,105,39.62264009
778483,936,115858,40-49,2,18,24188,5,8.179999828,1,0,1,5,0,5,0.611246957
778556,936,115870,40-49,1,32,9735,4,4.130000114,1,1,2,5,100,105,25.42372811
778600,936,115878,40-49,2,22,10750,4,5.389999866,1,0,1,5,0,5,0.927643808
778626,936,115882,20-29,1,29,7629,1,0.720000029,1,1,2,5,100,105,145.8333275
778689,936,115892,20-29,1,28,7453,1,1.679999948,1,1,2,5,100,105,62.50000193
778722,936,115898,30-39,2,64,41785,14,19.10000038,1,0,1,5,0,5,0.2617801
778737,936,115900,30-39,1,27,8077,2,3.579999924,1,1,2,5,100,105,29.32960956
778756,936,115904,30-39,2,63,5602,1,1.580000043,1,0,1,5,0,5,3.164556876
778804,936,115912,20-29,1,26,6184,2,2.75,1,1,2,5,100,105,38.18181818
778964,936,115938,30-39,2,27,112460,25,41.29000068,1,0,1,5,0,5,0.121094694
779106,936,115962,30-39,2,30,14670,7,9.410000324,1,0,1,5,0,5,0.53134961
779438,936,116031,20-29,2,64,33144,9,13.40999985,1,0,1,5,0,5,0.372856082
779453,936,116033,50-59,1,64,4397,1,0.949999988,1,0,1,5,0,5,5.263157961
779573,936,116053,30-39,2,10,89527,24,32.28999996,1,0,1,5,0,5,0.154846702
779609,936,116059,30-39,2,15,7116,2,1.730000019,1,1,2,5,100,105,60.69364095
779622,936,116061,20-29,2,15,8613,1,0.889999986,2,0,2,10,0,10,11.23595523
779631,936,116063,30-39,2,16,9730,1,1.379999995,1,0,1,5,0,5,3.623188419
779644,936,116065,20-29,2,16,51816,8,10.2299999,2,1,3,10,100,110,10.75268828
779645,936,116065,20-29,2,16,27289,3,4.429999828,1,0,1,5,0,5,1.128668215
779715,936,116077,20-29,2,29,20409,4,3.829999924,1,0,1,5,0,5,1.305483055
779716,936,116077,20-29,2,29,8044,1,1.110000014,1,0,1,5,0,5,4.504504448
779738,936,116081,20-29,2,28,15645,4,5.349999905,1,0,1,5,0,5,0.934579456
779789,936,116089,50-59,1,10,11611,3,3.950000048,1,1,2,5,100,105,26.58227816
779824,936,116095,50-59,1,7,9375,3,4.019999981,1,0,1,5,0,5,1.2437811
779871,936,116103,20-29,2,32,4402,1,1.330000043,1,1,2,5,100,105,78.94736587
779918,936,116111,20-29,2,18,8469,2,3.089999914,1,0,1,5,0,5,1.618123022
779922,936,116111,20-29,2,18,5823,1,1.419999957,1,1,2,5,100,105,73.94366421
779979,936,116121,30-39,1,16,25817,4,6.019999981,1,0,1,5,0,5,0.830564787
780104,936,116147,20-29,2,25,4971,1,1.230000019,1,1,2,5,100,105,85.36585234
780318,936,116183,50-59,2,29,162341,56,77.07999969,3,0,3,15,0,15,0.194603011
780323,936,116183,50-59,2,29,24542,7,9.329999924,1,0,1,5,0,5,0.535905685
780498,936,116218,20-29,2,64,13621,3,4.090000033,1,0,1,5,0,5,1.222493878
780511,936,116220,20-29,2,63,6175,1,1.370000005,2,1,3,10,100,110,80.29197051
780653,936,116244,20-29,2,29,9076,1,1.379999995,1,1,2,5,100,105,76.0869568
780655,936,116244,20-29,2,29,20941,4,5.909999967,1,1,2,5,100,105,17.76649756
780760,936,116267,50-59,2,18,17167,5,6.910000086,1,0,1,5,0,5,0.723588992
780797,936,116273,20-29,2,22,24491,7,9.539999962,1,0,1,5,0,5,0.524109017
780799,936,116273,20-29,2,22,44699,13,17.30000037,2,0,2,10,0,10,0.57803467
780821,936,116277,20-29,2,23,6469,2,1.309999943,1,0,1,5,0,5,3.816794059
780830,936,116279,50-59,2,16,16053,3,4.079999924,1,1,2,5,100,105,25.7352946
780835,936,116279,50-59,2,16,54724,12,17.92999995,1,1,2,5,100,105,5.856107099
